season,team_abbr,team,team_display_source,bye_week,final_result,points_for,points_against,venue,opponent,owner_username,pts,rost_pct,def_td,kr_td,st_td,ff,int,pt_allow,sack,tkl,fum_rec,qb_hit,source_start_line,source_final_line,source_team_lines,metric_source_lines
2025,NO,New Orleans Saints,New Orleans Saints,8,L,13,20,vs,ARI,asmartaleck1,130,,3,,,12,10,377,45,1049,10,84,357,Final L 13-20 vs ARI,New Orleans. Saints | New Orleans. Saints,"361,362,363,364,365,366,367,368,369,370,371"
2025,TB,Tampa Bay Buccaneers,Tampa Bay Buccaneers,10,W,23,20,@,ATL,Evenkeel75,110,,2,,,12,13,405,37,923,9,90,374,Final W 23-20 @ ATL,Tampa Bay. Buccaneers,"378,379,380,381,382,383,384,385,386,387,388"
2025,MIA,Miami Dolphins,Miami Dolphins,6,L,8,33,@,IND,,102,,,,,10,9,418,39,1057,9,79,391,Final L 8-33 @ IND,Miami. Dolphins | Miami. Dolphins,"394,395,396,397,398,399,400,401,402,403,404"
2025,NYG,New York Giants,New York Giants,8,L,6,21,@,WAS,Von937,87,,1,,,10,9,433,39,996,6,96,407,Final L 6-21 @ WAS,New York. Giants | New York. Giants,"411,412,413,414,415,416,417,418,419,420,421"
2025,CIN,Cincinnati Bengals,Cincinnati Bengals,6,W,17,16,@,CLE,,90,,1,,,11,13,436,35,1048,7,79,424,Final W 17-16 @ CLE,Cincinnati. Bengals | Cincinnati. Bengals,"427,428,429,430,431,432,433,434,435,436,437"
2025,NE,New England Patriots,New England Patriots,11,L,13,20,vs,LV,Von937,136,,2,,,9,10,314,35,964,8,88,440,Final L 13-20 vs LV,New England. Patriots | New England. Patriots,"444,445,446,447,448,449,450,451,452,453,454"
2025,IND,Indianapolis Colts,Indianapolis Colts,13,W,33,8,vs,MIA,Evenkeel75,109,,1,,,9,14,398,39,1049,7,98,456,Final W 33-8 vs MIA,Indianapolis. Colts,"460,461,462,463,464,465,466,467,468,469,470"
2025,CHI,Chicago Bears,Chicago Bears,10,L,24,27,vs,MIN,,127,,2,,,11,23,409,35,1003,10,83,473,Final L 24-27 vs MIN,Chicago. Bears | Chicago. Bears,"476,477,478,479,480,481,482,483,484,485,486"
2025,ARI,Arizona Cardinals,Arizona Cardinals,14,W,20,13,@,NO,,85,,2,,,11,10,476,30,1063,9,71,489,Final W 20-13 @ NO,Arizona. Cardinals | Arizona. Cardinals,"492,493,494,495,496,497,498,499,500,501,502"
2025,NYJ,New York Jets,New York Jets,13,L,32,34,vs,PIT,,55,,,,,8,,497,26,1070,3,58,505,Final L 32-34 vs PIT,New York. Jets | New York. Jets,"508,509,510,511,512,513,514,515,516,517,518"
2025,LAC,Los Angeles Chargers,Los Angeles Chargers,7,W,27,21,vs,KC,mafoulk,120,,,,,9,19,328,45,916,3,91,521,Final W 27-21 vs KC,Los Angeles. Chargers | Los Angeles. Chargers,"525,526,527,528,529,530,531,532,533,534,535"
2024,DEN,Denver Broncos,Denver Broncos,10,L,20,26,@,SEA,jfoulkrod,190,,5,,,12,15,311,63,1073,8,142,539,Final L 20-26 @ SEA,Denver. Broncos,"543,544,545,546,547,548,549,550,551,552,553"
2024,MIN,Minnesota Vikings,Minnesota Vikings,6,W,28,6,@,NYG,asmartaleck1,171,,3,,,10,24,324,49,1045,7,113,556,Final W 28-6 @ NYG,Minnesota. Vikings,"560,561,562,563,564,565,566,567,568,569,570"
2024,PIT,Pittsburgh Steelers,Pittsburgh Steelers,9,W,18,10,@,ATL,Von937,164,,1,,,18,17,335,40,1013,12,105,573,Final W 18-10 @ ATL,Pittsburgh. Steelers | Pittsburgh. Steelers,"577,578,579,580,581,582,583,584,585,586,587"
2024,GB,Green Bay Packers,Green Bay Packers,11,L,29,34,@,PHI,,162,,1,,,15,17,326,45,1031,12,91,590,Final L 29-34 @ PHI,Green Bay. Packers | Green Bay. Packers,"593,594,595,596,597,598,599,600,601,602,603"
2024,PHI,Philadelphia Eagles,Philadelphia Eagles,10,W,34,29,vs,GB,jfoulkrod,153,,1,,,18,13,297,41,958,12,87,606,Final W 34-29 vs GB,Philadelphia. Eagles | Philadelphia. Eagles,"610,611,612,613,614,615,616,617,618,619,620"
2024,SEA,Seattle Seahawks,Seattle Seahawks,11,W,26,20,vs,DEN,robfoulk,149,,4,,,14,13,358,45,1066,5,112,623,Final W 26-20 vs DEN,Seattle. Seahawks | Seattle. Seahawks,"627,628,629,630,631,632,633,634,635,636,637"
